dataset_title,file_type
Corte a noviembre 2022. Beneficiarios del Programa Producción para el Bienestar 2022.,CSV
Proyecto Estratégico Fortalecimiento a la Calidad del Café Mexicano 2022.,vnd.ms-excel
Proyecto Estratégico de Desarrollo Agrícola para la Justicia al Pueblo Yaqui 2022.,vnd.ms-excel
"Segundo listado de productores que pueden acceden al Programa de Fertilizantes, 2022 Chiapas.",CSV
"Programa de Fomento a la Agricultura, Ganadería, Pesca y Acuicultura 2022, Zacatecas.",vnd.ms-excel
"Tercer listado de productores que pueden acceder al Programa de Fertilizantes 2022, Chiapas.",CSV
Corte a septiembre 2022. Beneficiarios del Programa Producción para el Bienestar 2022.,CSV
"Programa de Fomento a la Agricultura, Ganadería, Pesca y Acuicultura 2022, Quintana Roo.",vnd.ms-excel
Corte a agosto 2022. Beneficiarios del Programa Producción para el Bienestar 2022.,CSV
"Programa de Fomento a la Agricultura, Ganadería, Pesca y Acuicultura 2022, Chiapas.",vnd.ms-excel
Proyecto Estratégico Atención a la Sequía Agrícola 2022.,vnd.ms-excel
Proyecto Estratégico Recuperación Económica y Productiva de Plantas y Flores Ornamentales.,vnd.ms-excel
"Programa Producción para el Bienestar, componente Acompañamiento Técnico 2019.",vnd.ms-excel
"Programa Producción para el Bienestar, componente Fomento al Acceso al Financiamiento 2020.",vnd.ms-excel
"Programa Producción para el Bienestar, componente Fomento al Acceso al Financiamiento 2021.",vnd.ms-excel
"Programa Producción para el Bienestar, componente Acompañamiento Técnico 2021.",vnd.ms-excel
"Programa Producción para el Bienestar, componente Apoyos Productivos Directos 2021.",vnd.ms-excel
"Programa de Fomento a la Agricultura, Ganadería, Pesca y Acuicultura 2022, Chihuahua.",vnd.ms-excel
"Programa de Fomento a la Agricultura, Ganadería, Pesca y Acuicultura 2022, Chihuahua.",CSV
"Programa Producción para el Bienestar, componente Acompañamiento Técnico 2020.",vnd.ms-excel
"Programa de Fomento a la Agricultura, Ganadería, Pesca y Acuicultura 2022, Querétaro",vnd.ms-excel
"Listado de Productores excluidos del Programa de Fertilizantes 2022, Puebla.",CSV
"Listado de Productores dados de baja del Programa de Fertilizantes 2022, Puebla.",CSV
"Dictamen Positivo con suficiencia presupuestal, Programa de Fomento a la Agricultura 2022 DGO 2",vnd.ms-excel
"Listado de productores que podrán acceder al Programa de Fertilizantes del año 2022, Nay.",CSV
"Listado de productores que podrán acceder al Programa de Fertilizantes del año 2022, Dgo.",CSV
"Listado de productores que podrán acceder al Programa de Fertilizantes del año 2022, Zacatecas.",CSV
Corte a mayo 2022. Beneficiarios del Programa Producción para el Bienestar 2022.,CSV
Corte a abril 2022. Beneficiarios del Programa Producción para el Bienestar 2022.,CSV
"Solicitudes dictaminadas Positivas, semilla certificada de frijol Chihuahua Dict. 3-6.",vnd.ms-excel
"Solicitudes sin suficiencia presupuestal, Adquisición de Material Genético e Insumos 2022, SLP.",vnd.ms-excel
"Listado beneficiarios Concepto de Apoyo Adquisición de Material Genético e Insumos 2022, SLP.",vnd.ms-excel
"Dictamen Positivo con suficiencia presupuestal, Programa de Fomento a la Agricultura 2022, DGO.",vnd.ms-excel
"Listado de productores que podrán acceder al Programa de Fertilizantes del año 2022, Puebla.",CSV
"4 Listado de beneficiarios del Programa de Fertilizantes año 2022, corte 06 de agosto del 2022.",CSV
"Listado solicitudes con dictamen Negativo, Adquisición de Material Genético e Insumos 2022, SLP",vnd.ms-excel
Corte a julio 2022. Beneficiarios del Programa Producción para el Bienestar 2022.,CSV
"Listado de solicitudes con dictamen Negativo, Adquisición de Material Genético e Insumos 2022.",vnd.ms-excel
"Solicitudes sin suficiencia presupuestal, Adquisición de Material Genético e Insumos 2022.",vnd.ms-excel
Corte a junio 2022. Beneficiarios del Programa Producción para el Bienestar 2022.,CSV
Listado de beneficiarios del Concepto de Apoyo Adquisición de Material Genético e Insumos 2022.,vnd.ms-excel
"Primer listado de productores que acceden al Programa de Fertilizantes, 2022 Oaxaca.",CSV
"Primer listado de productores que acceden al Programa de Fertilizantes, 2022 Chiapas.",CSV
Listado de productores que podrán acceder al Programa de Fertilizantes Tlaxcala 2022.,CSV
"Listado de Productores excluidos art. 8, Programa de Fertilizantes, Tlaxcala 2022.",CSV
Listado de Productores dados de baja del Prog Fertilizantes Tlaxcala 2022 por revisión  RENAPO.,CSV
"3 Listado de beneficiarios del Programa Fertilizantes del año 2022, corte 16 de junio de 2022.",CSV
"Listado Productores excluidos conforme al art. 8, Programa de Fertilizantes, Morelos 2022.",CSV
"Listado de productores que acceden al Programa de Fertilizantes, 2022 Morelos.",CSV
"Listado Productores dados de baja del Programa Fertilizantes 2022 por revisión ante RENAPO, Mor",CSV
Corte a febrero 2021. Beneficiarios del Programa Producción para el Bienestar OI 2020/2021,CSV
Corte a febrero 2021. Beneficiarios del Programa Producción para el Bienestar PV 2021,CSV
"2 Listado de beneficiarios del Programa de Fertilizantes del año 2021, corte 07 de abril 2021.",CSV
"1 Listado de beneficiarios del Programa de Fertilizantes del año 2021, corte 29 de marzo 2021.",CSV
"17 Listado de Beneficiarios del Programa de Fertilizantes, año 2020, corte al 18 de marzo 2021.",CSV
Corte a enero 2021. Beneficiarios del Programa Producción para el Bienestar OI 2020/2021,CSV
Corte a diciembre 2020. Beneficiarios del Programa Producción para el Bienestar OI 2019/2020,CSV
"15 Listado de Beneficiarios del Programa de Fertilizantes del año 2020, corte al 14 de febrero",CSV
"16 Listado de Beneficiarios del Programa de Fertilizantes del año 2020, corte al 22 de febrero",CSV
Corte a enero 2021. Beneficiarios del Programa Producción para el Bienestar PV 2021.,CSV
Corte a diciembre 2020. Beneficiarios del Programa Producción para el Bienestar PV 2020.,CSV
"14 Listado de Beneficiarios del Programa de Fertilizantes del año 2020, corte al 31 de ene-2021",CSV
Corte a noviembre 2020. Beneficiarios del Programa Producción para el Bienestar OI 2019/2020,CSV
"12 Listado de Beneficiarios del Programa de Fertilizantes del año 2020, corte al 22-dic-2020.",CSV
Corte a noviembre 2020. Beneficiarios del Programa Producción para el Bienestar PV 2020.,CSV
"13 Listado de Beneficiarios del Programa de Fertilizantes del año 2020, corte al 11 de ene-2021",CSV
"Beneficiarios Incentivos a la Comercialización 2019, al 31 de diciembre 2019",CSV
"Corte a octubre 2020. Beneficiarios del Programa Producción para el Bienestar, OI 2019/2020.",CSV
"Corte a octubre 2020. Beneficiarios del Programa Producción para el Bienestar, PV 2020.",CSV
SOLICITUDES CON RESOLUCIÓN POSITIVA DEL INCENTIVO DE PROYECTOS INTEGRALES DE CONSERVACIÓN Y MANEJO DE SUELO Y AGUA,CSV
SOLICITUDES CON RESOLUCIÓN POSITIVA DEL INCENTIVO DE RECUPERACIÓN DE SUELOS,CSV
SOLICITUDES CON RESOLUCIÓN POSITIVA DEL INCENTIVO DE SISTEMAS DE RIEGO TECNIFICADO,CSV
SOLICITUDES CON RESOLUCIÓN NEGATIVA DEL INCENTIVO DE PROYECTOS INTEGRALES DE CONSERVACIÓN Y MANEJO DE SUELO Y AGUA,CSV
SOLICITUDES CON RESOLUCIÓN NEGATIVA DEL INCENTIVO DE RECUPERACIÓN DE SUELOS,CSV
SOLICITUDES CON RESOLUCIÓN POSITIVA DEL COMPONENTE DE ENERGÍAS RENOVABLES,CSV
SOLICITUDES CON RESOLUCIÓN NEGATIVA DEL INCENTIVO DE SISTEMAS DE RIEGO TECNIFICADO,CSV
SOLICITUDES CON RESOLUCIÓN NEGATIVA DEL COMPONENTE DE ENERGÍAS RENOVABLES,CSV
"Listados de Beneficiarios del Programa Producción para el Bienestar, ciclo agrícola Primavera - Verano 2019. Corte a Diciembre 2019.",CSV
"Listados de Beneficiarios del Programa Producción para el Bienestar, ciclo agrícola Otoño - Invierno 2018/2019. Corte a Diciembre 2019.",CSV
Corte a septiembre 2020. Beneficiarios del Programa Producción para el Bienestar OI 2019/2020.,CSV
Lista de Beneficiarios Componente Incentivos a la Comercialización 2019,CSV
PADRÓN DE PRODUCTORES APOYADOS DEL FOLIO 301502 DEL SEGURO AGROPECUARIO CATASTRÓFICO 2018,CSV
Corte a septiembre 2020. Beneficiarios del Programa Producción para el Bienestar PV 2020.,CSV
"Listado de solicitudes del Componente Investigación, Innovación y Desarrollo Tecnológico Agrícola.",CSV
"11 Listado de Beneficiarios del Programa Fertilizantes del año 2020, corte al 10 de sep-2020.",CSV
Corte a agosto 2020. Beneficiarios del Programa Producción para el Bienestar OI 2019/2020.,CSV
Corte a agosto 2020. Beneficiarios del Programa Producción para el Bienestar PV 2020.,CSV
"Listados de Beneficiarios del Programa Producción para el Bienestar, ciclo Primavera - Verano 2019, 3er. Trimestre",CSV
"Listados de Beneficiarios del Programa Producción para el Bienestar, Ciclo Otoño-Invierno 2018/2019, 3er. Trimestre",CSV
"Listados de Beneficiarios del Programa Producción para el Bienestar, para el ciclo agrícola Primavera - Verano 2019.",CSV
Listado de Productores dados de baja del Programa Fertilizantes 2022 por revisión ante RENAPO.,CSV
"Listado de productores que podrán acceder al Programa de Fertilizantes del año 2022, Gro.",CSV
"Listado Productores sujetos a validación conforme al Art. 9 fracc. I, art. 14, Prog. Fert. Gro.",CSV
"Listados de Beneficiarios del Programa Producción para el Bienestar, ciclo agrícola Otoño - Invierno 2019/2020. Corte a Junio 2020.",CSV
"Listados de Beneficiarios del Programa Producción para el Bienestar, ciclo agrícola Primavera - Verano 2020. Corte a Junio 2020.",CSV
Corte a Julio 2020. Beneficiarios del Programa Producción para el Bienestar OI 2019/2020.,CSV
"Listado Productores excluidos art. 8 Programa de Fertilizantes 2022, correspondiente edo. Gro.",CSV
Corte a Julio 2020. Beneficiarios del Programa Producción para el Bienestar PV 2020.,CSV
"Décima parte del listado de beneficiarios del Programa Fertilizante del Ejercicio Fiscal 2020, con corte al 19 de agosto de 2020.",CSV
Corte a noviembre 2021. Beneficiarios del Programa Producción para el Bienestar OI 2020/2021,CSV
"2 Listado de beneficiarios del Programa de Fertilizantes del año 2022, corte 30 de mayo de 2022",CSV
Listados de productores del Programa de Fertilizantes de la SADER,CSV
Corte a noviembre 2021. Beneficiarios del Programa Producción para el Bienestar PV 2021.,CSV
"Novena parte del listado de beneficiarios del Programa Fertilizantes del Ejercicio Fiscal 2020, con corte al 10 de agosto de 2020",CSV
Catálogos del Sistema de Rendición de Cuentas utilizados por Agricultura.,vnd.ms-excel
Corte a octubre 2021. Beneficiarios del Programa Producción para el Bienestar PV 2021.,CSV
Corte a octubre 2021. Beneficiarios del Programa Producción para el Bienestar OI 2020/2021,CSV
Catálogos del Sistema de Rendición de Cuentas utilizados por las Dependencias.,CSV
"Octava Parte del Listado de Beneficiarios del Programa de Fertilizantes del año 2020, con corte al 26 de Julio del 2020.",CSV
"Sexta parte del Listado de Beneficiarios del Programa de Fertilizantes del año 2020, con corte al 02 de Julio del 2020.",CSV
"Séptima Parte del Listado de Beneficiarios del Programa de Fertilizantes del año 2020, con corte al 12 de Julio del 2020.",CSV
"Quinta Parte del Listado de Beneficiarios del Programa de Fertilizantes del año 2020, con corte al 30 de Junio del 2020",CSV
"Cuarta Parte del Listado de Beneficiarios del Programa de Fertilizantes del año 2020, con corte al 28 de Junio del 2020.",CSV
"Tercera Parte del Listado de Beneficiarios del Programa de Fertilizantes, Ejercicio Fiscal 2020, con corte al 21 de Junio del 2020.",CSV
"1 Listado de beneficiarios del Programa de Fertilizantes del año 2022, corte 15 de mayo de 2022",CSV
Corte a junio 2021. Beneficiarios del Programa Producción para el Bienestar PV 2021.,CSV
"Mapa base de los CADER, DDR y Delegaciones de la SADER a nivel nacional Serie VII",vnd.google-earth.kmz
Plan de Apertura Institucional de SAGARPA de SAGARPA creado el 2016-01-27 18:19,CSV
"Convocatorias, avisos y documentos del Programa Fomento a la Agricultura 2019",CSV
"Convocatorias, avisos y documentos del Programa Fomento a la Agricultura 2019",PDF
Primer Listado de Beneficiarios del Programa de Fertilizantes para el Ejercicio Fiscal 2020,CSV
Corte a abril 2021. Beneficiarios del Programa Producción para el Bienestar OI 2020/2021,CSV
"Segunda Parte del Listado de Beneficiarios del Programa de Fertilizantes, Ejercicio Fiscal 2020",CSV
Corte a abril 2021. Beneficiarios del Programa Producción para el Bienestar PV 2021.,CSV
Corte a mayo 2021. Beneficiarios del Programa Producción para el Bienestar PV 2021.,CSV
Corte a mayo 2021. Beneficiarios del Programa Producción para el Bienestar OI 2020/2021,CSV
"4 Listado de beneficiarios del Programa de Fertilizantes del año 2021, corte 04 de julio 2021.",CSV
Beneficiarios del Proyecto Estratégico de Rescate y Atención a la Cadena Productiva del Hule,vnd.ms-excel
"3 Listado de beneficiarios del Programa de Fertilizantes del año 2021, corte 17 de junio 2021.",CSV
"9 Listado de Beneficiarios del Programa Fertilizante del Ejercicio Fiscal 2021, corte 31mar22",CSV
Beneficiarios Componente Desarrollo Productivo del Sur Sureste y Zonas Económicas Especiales 2019,CSV
Relación de sucursales bancarias con horario ampliado a fines de semana en abril de 2019,CSV
Corte a marzo 2021. Beneficiarios del Programa Producción para el Bienestar OI 2019/2020,CSV
Corte a marzo 2021. Beneficiarios del Programa Producción para el Bienestar PV 2020.,CSV
Beneficiarios Incentivos a la Comercialización 2019 al 31-mar-2020,CSV
Corte a marzo 2021. Beneficiarios del Programa Producción para el Bienestar PV 2021.,CSV
Documentos de las reglas de operación de los programas de SAGARPA,PDF
Corte a marzo 2021. Beneficiarios del Programa Producción para el Bienestar OI 2020/2021.,CSV
Indicadores de objetivos y resultados de los programas de apoyo de la SAGARPA,CSV
Indicadores Sistema Nacional de Evaluación de Nivel de Cumplimiento de los Derechos Humanos,CSV
Información histórica de sequía de SAGARPA,CSV
Producción de miel 2017,CSV
Padrón de proveedores y contratistas.,CSV
"Convenios de coordinación, de concertación con el sector social o privado",CSV
Consejo Mexicano para el Desarrollo Rural Sustentable (CMDRS),PDF
Información histórica de sequía (2014),CSV
Indemnizaciones SAC.,CSV
Corte a junio 2021. Beneficiarios del Programa Producción para el Bienestar OI 2020/2021,CSV
Relación de beneficiarios del componente COUSSA por ciclo,CSV
Oficios y Documentos Institucionales de SAGARPA,JSON
Corte a febrero 2022. Beneficiarios del Programa Producción para el Bienestar PV 2021.,CSV
Corte a febrero 2022. Beneficiarios del Programa Producción para el Bienestar OI 2020/2021,CSV
"Componente: Conservación y Uso Sustentable de Suelo y Agua, COUSSA",CSV
Servicio Profesional de Carrera SAGARPA,CSV
"Listados de productores, proveedores y de apoyo a la comercialización",CSV
"Listados de productores, proveedores y de apoyo a la comercialización",PDF
"Directorio de proveedores, comercialización y cultivos con mayor rendimiento",CSV
Balanza agroalimentaria: exportaciones agroalimentarias de México al mundo,PDF
Sistema de Rendición de Cuentas (SRC) del Programa Especial Concurrente para el Desarrollo Rural Sustentable (PEC),PDF
"Listados de Beneficiarios del Programa Producción para el Bienestar, para el ciclo agrícola Otoño - Invierno 2018-2019",CSV
Reglas de Operación de los Programas de la SAGARPA,PDF
"Referencia de Documentos Normativos aplicables, a Sujetos Obligados",CSV
Apoyos SAGARPA 2013,CSV
Balanzas Agroalimentarias,PDF
Beneficiarios del programa Fondo para el Apoyo a Proyectos Productivos en Núcleos Agrarios (FAPPA) de SAGARPA creado el 2016-01-27 18:19,CSV
Componente Fortalecimiento a Organizaciones Rural de SAGARPA creado el 2016-01-27 18:19,CSV
DISPOSICIONES DIVERSAS de SAGARPA,PDF
DECRETO de SAGARPA creado el 2016-01-27 18:19,PDF
MANUAL de SAGARPA,PDF
Municipios beneficiados de la Cruzada Nacional en Contra del Hambre de SAGARPA creado el 2016-01-27 18:19,vnd.ms-excel
Recursos otorgados en el ejercicio 2013 de SAGARPA creado el 2016-01-27 18:19,CSV
Recursos otorgados en el ejercicio 2014 de SAGARPA creado el 2016-01-27 18:19,CSV
Evaluaciones Externas de SAGARPA,PDF
LEY de SAGARPA,PDF
REGLAMENTO de SAGARPA creado el 2016-01-27 18:19,PDF
Sistema de Extensionismo Rural Mexicano (SERMexicano),CSV
Inventario Institucional de Datos de SAGARPA de SAGARPA creado el 2016-01-27 18:18,XLSX
Solicitudes de información recurrente,CSV
Solicitudes de información recurrente,PDF
INDICADORES DE INTERÉS SAGARPA,CSV
Objetivos Institucionales SAGARPA,CSV
PROPOR 2015,CSV
PROPOR de SAGARPA 2014,CSV
Matrices de Indicadores para Resultados de SAGARPA (2014-2018),CSV
PROGAN Productivo de SAGARPA creado el 2016-01-27 18:19,CSV
PROGAN Productivo de SAGARPA creado el 2016-01-27 18:19,PDF
Reglamento Interior de la SAGARPA,PDF
"18 Listado de Beneficiarios del Programa de Fertilizante-2020, corte al 31 de marzo 2021",CSV
Listado de Beneficiarios del Programa de Fertilizantes para el Ejercicio Fiscal 2019,CSV
Criaderos de Abejas Reina y Núcleos de Abejas Certificados de SAGARPA creado el 2016-01-27 18:19,CSV
Beneficiarios del Programa de Apoyo para la Productividad de la Mujer Emprendedora (PROMETE) de SAGARPA creado el 2016-01-27 18:19,CSV
Incentivos otorgados por concepto de apoyo de las Instancias Ejecutoras bajo el Componente de Bioenergía y Sustentabilidad de SAGARPA,vnd.ms-excel
LINEAMIENTO de SAGARPA,CSV
Apicultores con Reconocimiento en Buenas Prácticas Pecuarias en la Producción de Miel de SAGARPA creado el 2016-01-27 18:19,CSV
Sistema de Rendición de Cuentas (SRC) del Programa Especial Concurrente para el Desarrollo Rural Sustentable (PEC). de SAGARPA creado el 2016-01-27...,PDF
ACUERDO de SAGARPA,PDF
Componente Coordinación para la Integración de Proyectos de SAGARPA creado el 2016-01-27 18:19,CSV
Presupuesto de Egresos 2023 del Gobierno del Estado de Guanajuato,CSV
Presupuesto de Egresos 2020 del Gobierno del Estado de Guanajuato,vnd.ms-excel
Presupuesto de Egresos 2021 del Gobierno del Estado de Guanajuato,CSV
Presupuesto de Egresos 2021 del Gobierno del Estado de Guanajuato,vnd.ms-excel
Contratos de Obra Pública del Estado de Guanajuato,CSV
Becas de Capacitación del Servicio Nacional de Empleo,CSV
Becas de Capacitación del Servicio Nacional de Empleo,JSON
Bolsa de Empleo del Servicio Nacional de Empleo.,CSV
Bolsa de Empleo del Servicio Nacional de Empleo.,JSON
Presupuesto de Egresos 2019 del Gobierno del Estado de Guanajuato,vnd.ms-excel
Plan de Apertura Institucional de Estado de Guanajuato,CSV
Presupuesto de Egresos 2018 del Gobierno del Estado de Guanajuato,vnd.ms-excel
Oficios y Documentos Institucionales de Estado de Guanajuato,JSON
Presupuesto de Egresos 2022 del Gobierno del Estado de Guanajuato,CSV
Aforos mensuales registrados en red propia,CSV
Infraestructura de la Red propia,CSV
Ingresos mensuales registrados en red propia,CSV
Reporte de siniestros que afectan al seguro del usuario en red propia.,CSV
Pasivos Contingentes de Red Propia,CSV
Obra Pública en Proceso,CSV
Inventario Institucional de Datos de CAPUFE,vnd.ms-excel
Aforo CAPUFE-FNI,CSV
Infraestructura operada por CAPUFE,CSV
Oficios y Documentos Institucionales de CAPUFE,PDF
Ingreso CAPUFE-FNI,CSV
Obra Pública (Red Propia),CSV
Tarifas Históricas y Vigentes,CSV
REPORTE DE ACCIDENTES EN RED PROPIA,CSV
REPORTE EXPRESIONES CIUDADANAS EN RED PROPIA,CSV
Plan de Apertura Institucional de CAPUFE,CSV
INPOCUFIDE.-Juegos Nacionales CONADE 2020 etapa estatal por municipios de SLP,CSV
DIR. PENSIONES.- Derechohabientes Activos por sector,CSV
INPOCUFIDE.-Programa para atletas de alto rendimiento 2021,CSV
"DIR. PENSIONES.- Pensionados por sector,",CSV
ICAT.- Población Beneficiada,CSV
DIR. PENSIONES.- Préstamos que otorga la Dirección de Pensiones por sector,CSV
INVIES.-Contratación de adquisiciones y obra pública,CSV
COPOCYT.- Becas Nacionales CONACYT,CSV
"COPOCYT.- Red de Divulgación de Ciencia, Tecnología e Innovación (REDICITI)",CSV
INPOCUFIDE.-Juegos Nacionales CONADE 2020 participación general de SLP,CSV
IEC.-POBLACIÓN ATENDIDA,CSV
COESPO.- Transición Demográfica.,CSV
INDEPI.- NOMINA,CSV
IMEI.- Programa Doble Nacionalidad,CSV
CGE.- Proyectos de Innovación de Gobierno Abierto,CSV
DEFENSORÍA PÚBLICA DEL ESTADO.- SERVICIOS JURÍDICOS,CSV
COESPO.- Nacimientos en el Estado de San Luis Potosí,CSV
ICAT.- Población capacitada y certificada Conocer,CSV
"HC Dr. Ignacio Morones Prieto.-INFORME DE SERVICIOS BRINDADOS DE IMAGENOLOGÍA, LABORATORIO",CSV
COESPO.- Ingresos por remesas familiares en el Estado de San Luis Potosí (Banxico).,CSV
CGE.- Comités Institucionales de Gobierno Abierto,CSV
CGE.- Recursos de 5 al Millar,CSV
COPOCYT.- Programas en el Sistema Nacional de Posgrados,CSV
CONSEJERÍA JURÍDICA.- MINUTAS Y DECRETOS LEGISLATIVOS,CSV
CAS ROSARIO CASTELLANOS.- Información correspondiente al primer semestre,CSV
